Antibody,Antigen,IC50,
10-1074,3365_V2_C20,0.083,
10-1074,3365_V2_C20,0.057,
10-1074,3365_V2_C20,0.057,
10-1074,3365_V2_C20,0.003,
10-1074,3365_V2_C20,0.003,
10-1074,3365_V2_C20,0.131,
10-1074,3415_V1_C1,>50,
10-1074,3415_V1_C1,>50,
10-1074,3415_V1_C1,>20,
10-1074,3415_V1_C1,>50,
10-1074,3415_V1_C1,>50,
10-1074,3415_V1_C1,>50,
10-1074,3415_V1_C1,>10,
10-1074,3415_V1_C1,>10,
10-1074,3415_V1_C1,>50,
10-1074,3415_V1_C1,>50,
10-1074,3415_V1_C1,>50,
10-1074,3426_V5_C17,0.008,
10-1074,3426_V5_C17,0.008,
10-1074,3468_V1_C12,0.006,
10-1074,3468_V1_C12,0.0007,
10-1074,3468_V1_C12,0.0007,
10-1074,3468_V1_C12,0.012,
10-1074,3468_V1_C12,0.006,
10-1074,3468_V1_C12,0.006,
10-1074,346_F4_D2_12,0.051,
10-1074,346_F4_D2_12,0.051,
10-1074,3514597,0.099,
10-1074,3514597,0.099,
10-1074,3545883_G1_E1,>20,
10-1074,3545883_G1_E1,>20,
10-1074,3589_V1_C4,>50,
10-1074,3589_V1_C4,>50,
10-1074,3589_V1_C4,>50,
10-1074,3589_V1_C4,>50,
10-1074,3589_V1_C4,>50,
10-1074,3589_V1_C4,>50,
10-1074,3603_C11_13,0.027,
10-1074,3603_C11_13,0.027,
10-1074,3637_V5_C3,>50,
10-1074,3637_V5_C3,>20,
10-1074,3637_V5_C3,>50,
10-1074,3637_V5_C3,>50,
10-1074,3637_V5_C3,>50,
10-1074,3637_V5_C3,>50,
10-1074,3637_V5_C3,>20,
10-1074,3718_3_11,>50,
10-1074,3718_3_11,>50,
10-1074,3718_3_11,>50,
10-1074,3718_3_11,>50,
10-1074,3718_3_11,>50,
10-1074,3718_3_11,>50,
10-1074,3718_3_11,>50,
10-1074,3728_V2_C6,>20,
10-1074,3728_V2_C6,>20,
10-1074,377_V4_C09,0.354,
10-1074,377_V4_C09,0.354,
10-1074,3817_V2_C59,0.308,
10-1074,3817_V2_C59,0.308,
10-1074,3817_V2_C59,1.151,
10-1074,3817_V2_C59,0.308,
10-1074,3817_V2_C59,3.148,
10-1074,3817_V2_C59,0.248,
10-1074,3817_V2_C59,0.706,
10-1074,3817_V2_C59,0.706,
10-1074,3817_V2_C59,0.308,
10-1074,3817_V2_C59,1.59,
10-1074,3817_V2_C59,0.308,
10-1074,3817_V2_C59,3.148,
10-1074,3873_V1_C24,0.019,
10-1074,3873_V1_C24,0.058,
10-1074,3873_V1_C24,0.019,
10-1074,3873_V1_C24,0.093,
10-1074,3873_V1_C24,0.019,
10-1074,3873_V1_C24,0.019,
10-1074,3873_V1_C24,0.058,
10-1074,3988_25,0.0007,
10-1074,3988_25,0.0007,
10-1074,3988_25,0.015,
10-1074,3988_25,0.016,
10-1074,3988_25,0.016,
10-1074,398_F1_F6_20,0.0003,
10-1074,398_F1_F6_20,0.0003,
10-1074,398_F1_F6_20,0.013,
10-1074,398_F1_F6_20,0.017,
10-1074,398_F1_F6_20,0.012,
10-1074,398_F1_F6_20,0.017,
10-1074,398_F1_F6_20,0.003,
10-1074,398_F1_F6_20,0.011,
10-1074,40100_V01_MN01,1.29,
10-1074,4236_BL_A9_1,0.003,
10-1074,4236_BL_C1_1,0.032,
10-1074,4236_BL_C5_3,0.093,
10-1074,4236_V11_D8_4,>50,
10-1074,4236_V9_G10_3,>50,
10-1074,45_01DG5,0.0008,
10-1074,45_01DG5,0.0008,
10-1074,45_01DG5,0.019,
10-1074,45_01DG5,0.007,
10-1074,5257_BL_A3_2,>50,
10-1074,5257_BL_B12_4,>50,
10-1074,5257_BL_F4_4,>50,
10-1074,5257_V7_B12_3,>50,
10-1074,5257_V7_B9_2,>50,
10-1074,5257_V7_C1_1,>50,
10-1074,5257_V7_D2_1,>50,
10-1074,5257_V7_D6_1,>50,
10-1074,5257_V7_D7_1,>50,
10-1074,5257_V7_E2_1,>50,
10-1074,5257_V7_G10_1,>50,
10-1074,5257_V7_H3_1,>50,
10-1074,541_F1_A7_2,>20,
10-1074,541_F1_A7_2,>20,
10-1074,556_F2_3_25,0.078,
10-1074,556_F2_3_25,0.078,
10-1074,569_F1_37_10,0.869,
10-1074,569_F1_37_10,0.869,
10-1074,57128_VRC15,0.252,
10-1074,57128_VRC15,0.252,
10-1074,57128_VRC15,0.252,
10-1074,57128_VRC15,0.288,
10-1074,57128_VRC15,0.252,
10-1074,57128_VRC15,0.252,
10-1074,57128_VRC15,0.41,
10-1074,5768_4,0.314,
10-1074,5768_4,0.314,
10-1074,5768_4,1.41,
10-1074,5768_4,0.314,
10-1074,5768_4,0.314,
10-1074,6022_V7_C24,0.017,
10-1074,6022_V7_C24,0.017,
10-1074,6040_V4_C15,>20,
10-1074,6040_V4_C15,>20,
10-1074,6041_V3_C23,21.72,
10-1074,6041_V3_C23,>50,
10-1074,6041_V3_C23,>10,
10-1074,6041_V3_C23,>10,
10-1074,6041_V3_C23,>25,
10-1074,6041_V3_C23,>50,
10-1074,6095_V1_C10,>50,
10-1074,6095_V1_C10,>50,
10-1074,6095_V1_C10,>50,
10-1074,6095_V1_C10,>50,
10-1074,6095_V1_C10,>50,
10-1074,6095_V1_C10,>50,
10-1074,6101_1,0.001,
10-1074,6101_1,0.001,
10-1074,6101_1,0.02,
10-1074,6101_1,0.03,
10-1074,6113_BL_A3_4,0.002,
10-1074,6113_BL_A5_4,0.004,
10-1074,6113_BL_B4_3,0.022,
10-1074,6113_BL_C10_4,0.02,
10-1074,6113_BL_D6_4,0.01,
10-1074,6113_V14_A10_1,0.03,
10-1074,6113_V14_A11_1,0.04,
10-1074,6113_V14_B5_2,0.004,
10-1074,6113_V14_C7_3,0.006,
10-1074,6113_V14_D8_2,0.014,
10-1074,6113_V14_E1_2,0.008,
10-1074,6113_V14_G11_1,0.01,
10-1074,6146_V7_C23,0.002,
10-1074,6146_V7_C23,0.002,
10-1074,620345_C1,>50,
10-1074,620345_C1,>50,
10-1074,620345_C1,>50,
10-1074,620345_C1,>50,
10-1074,620345_C1,>50,
10-1074,620345_C1,>50,
10-1074,620345_C1,>10,
10-1074,620345_C1,>10,
10-1074,620345_C1,>50,
10-1074,620345_C1,>25,
10-1074,620345_C1,>50,
10-1074,620345_C1,>50,
10-1074,62357_14_D3_4589,>20,
10-1074,62357_14_D3_4589,>50,
10-1074,62357_14_D3_4589,>10,
10-1074,62357_14_D3_4589,>10,
10-1074,62357_14_D3_4589,>25,
10-1074,62357_14_D3_4589,>50,
10-1074,6240_08_TA5_4622,0.087,
10-1074,6240_08_TA5_4622,0.068,
10-1074,6240_08_TA5_4622,0.038,
10-1074,6240_08_TA5_4622,0.038,
10-1074,6240_08_TA5_4622,0.028,
10-1074,6240_08_TA5_4622,0.068,
10-1074,6244_13_B5_4567,0.197,
10-1074,6244_13_B5_4567,0.202,
10-1074,6244_13_B5_4567,0.091,
10-1074,6244_13_B5_4567,0.091,
10-1074,6244_13_B5_4567,0.108,
10-1074,6244_13_B5_4567,0.202,
10-1074,6292_BL_A4_1,0.023,
10-1074,6292_BL_B2_1,0.013,
10-1074,6292_BL_C4_1,0.027,
10-1074,6292_BL_D2_3,0.025,
10-1074,6292_BL_D4_1,0.016,
10-1074,6292_BL_F2_2,0.019,
10-1074,6292_BL_G2_1,0.013,
10-1074,6292_BL_G4_3,0.025,
10-1074,6292_BL_H4_2,0.032,
10-1074,6292_V7_A11_1,>50,
10-1074,6292_V7_A6_1,>50,
10-1074,6292_V7_B9_2,>50,
10-1074,6292_V7_C12_1,>50,
10-1074,6292_V7_C8_1,0.277,
10-1074,6292_V7_F10_2,>50,
10-1074,6292_V7_F12_4,>50,
10-1074,6292_V7_F5_2,>50,
10-1074,6292_V7_G10_4,>50,
10-1074,6292_V7_G8_4,>50,
10-1074,6292_V7_H7_4,>50,
10-1074,6322_V4_C1,>50,
10-1074,6322_V4_C1,>20,
10-1074,6322_V4_C1,>50,
10-1074,6322_V4_C1,>50,
10-1074,6322_V4_C1,>50,
10-1074,6322_V4_C1,>50,
10-1074,6322_V4_C1,>20,
10-1074,6405_V4_C34,0.007,
10-1074,6405_V4_C34,0.007,
10-1074,6405_V4_C34,0.007,
10-1074,6405_V4_C34,0.045,
10-1074,6405_V4_C34,0.007,
10-1074,6405_V4_C34,0.007,
10-1074,6405_V4_C34,0.039,
10-1074,6471_V1_C16,0.827,
10-1074,6471_V1_C16,0.827,
10-1074,6471_V1_C16,2.202,
10-1074,6471_V1_C16,0.827,
10-1074,6471_V1_C16,0.559,
10-1074,6471_V1_C16,0.827,
10-1074,6471_V1_C16,0.827,
10-1074,6471_V1_C16,2.202,
10-1074,6480_V4_C25,0.005,
10-1074,6480_V4_C25,0.009,
10-1074,6480_V4_C25,0.006,
10-1074,6480_V4_C25,0.006,
10-1074,6480_V4_C25,0.009,
10-1074,6535_3,0.001,
10-1074,6535_3,0.013,
10-1074,6535_3,0.001,
10-1074,6535_3,0.014,
10-1074,6535_3,0.013,
10-1074,6535_3,0.007,
10-1074,6535_3,0.007,
10-1074,6535_3,0.018,
10-1074,6535_3,0.011,
10-1074,6535_3,0.018,
10-1074,6535_3,0.01,
10-1074,6535_3,0.014,
10-1074,6540_V4_C1,>50,
10-1074,6540_V4_C1,>50,
10-1074,6540_V4_C1,>50,
10-1074,6540_V4_C1,>50,
10-1074,6540_V4_C1,>50,
10-1074,6540_V4_C1,>50,
10-1074,6540_V4_C1,>10,
10-1074,6540_V4_C1,>10,
10-1074,6540_V4_C1,>50,
10-1074,6540_V4_C1,>25,
10-1074,6540_V4_C1,>50,
10-1074,6540_V4_C1,>50,
10-1074,6545_V4_C1,>50,
10-1074,6545_V4_C1,>50,
10-1074,6545_V4_C1,>20,
10-1074,6545_V4_C1,>50,
10-1074,6545_V4_C1,>50,
10-1074,6545_V4_C1,>50,
10-1074,6545_V4_C1,>10,
10-1074,6545_V4_C1,>10,
10-1074,6545_V4_C1,>50,
10-1074,6545_V4_C1,>25,
10-1074,6545_V4_C1,>50,
10-1074,6545_V4_C1,>50,
10-1074,6592_V7_C25,0.007,
10-1074,6631_V3_C10,0.158,
10-1074,6631_V3_C10,0.158,
10-1074,6631_V3_C10,0.341,
10-1074,6631_V3_C10,0.158,
10-1074,6631_V3_C10,0.21,
10-1074,6631_V3_C10,0.158,
10-1074,6631_V3_C10,0.158,
10-1074,6631_V3_C10,0.341,
10-1074,6644_V2_C33,0.002,
10-1074,6644_V2_C33,0.002,
10-1074,6644_V2_C33,0.04,
10-1074,6644_V2_C33,0.002,
10-1074,6644_V2_C33,0.038,
10-1074,6644_V2_C33,0.002,
10-1074,6644_V2_C33,0.002,
10-1074,6644_V2_C33,0.04,
10-1074,6775_BL_B10_3,<0.023,
10-1074,6775_BL_E3_3,<0.001,
10-1074,6775_BL_E5_2,<0.001,
10-1074,6775_BL_F5_2,0.01,
10-1074,6775_BL_G10_2,0.003,
10-1074,6775_BL_G3_4,0.006,
10-1074,6775_BL_H10_4,0.002,
10-1074,6775_BL_H7_3,0.009,
10-1074,6775_V7_D2_4,>50,
10-1074,6775_V7_D3_3,>50,
10-1074,6775_V7_D6_3,>50,
10-1074,6775_V7_D7_3,>50,
10-1074,6775_V7_E5_1,>50,
10-1074,6785_V5_C14,0.004,
10-1074,6785_V5_C14,0.004,
10-1074,6785_V5_C14,0.028,
10-1074,6785_V5_C14,0.004,
10-1074,6785_V5_C14,0.031,
10-1074,6785_V5_C14,0.004,
10-1074,6785_V5_C14,0.004,
10-1074,6785_V5_C14,0.028,
10-1074,6811_V7_C18,0.002,
10-1074,6811_V7_C18,0.002,
10-1074,6811_V7_C18,0.003,
10-1074,6811_V7_C18,0.003,
10-1074,6811_V7_C18,0.001,
10-1074,6811_V7_C18,0.002,
10-1074,6838_V1_C35,0.611,
10-1074,6838_V1_C35,0.611,
10-1074,6838_V1_C35,5.261,
10-1074,6838_V1_C35,0.611,
10-1074,6838_V1_C35,>50,
10-1074,6838_V1_C35,0.611,
10-1074,6838_V1_C35,0.611,
10-1074,6838_V1_C35,5.261,
10-1074,6952_V1_C20,0.03,
10-1074,6952_V1_C20,0.037,
10-1074,6952_V1_C20,0.023,
10-1074,6952_V1_C20,0.023,
10-1074,6952_V1_C20,0.002,
10-1074,6952_V1_C20,0.037,
10-1074,6980_V0_C31,>20,
10-1074,6980_V0_C31,>20,
10-1074,703010010_C4,0.031,
10-1074,703010010_C4,0.031,
10-1074,703010054_2A2,>20,
10-1074,703010054_2A2,>20,
10-1074,703010054_2A2,>50,
10-1074,703010054_2A2,>10,
10-1074,703010054_2A2,>10,
10-1074,703010054_2A2,>25,
10-1074,703010054_2A2,>50,
10-1074,703010054_2A2,>10,
10-1074,703010131_1E2,>20,
10-1074,703010131_1E2,>20,
10-1074,703010200_1E5,0.01,
10-1074,703010200_1E5,0.009,
10-1074,703010200_1E5,0.006,
10-1074,703010200_1E5,0.009,
10-1074,703010200_1E5,0.009,
10-1074,703010200_1E5,0.007,
10-1074,703010200_1E5,0.006,
10-1074,703010200_1E5,0.009,
10-1074,703010217_B6,0.004,
10-1074,703010217_B6,0.007,
10-1074,703010217_B6,0.004,
10-1074,703010217_B6,0.011,
10-1074,703010217_B6,0.007,
10-1074,703010217_B6,0.004,
10-1074,703010217_B6,0.007,
10-1074,703010217_B6,0.008,
10-1074,703010228_1C4,>20,
10-1074,703010228_1C4,>20,
10-1074,704010042_2E5,>20,
10-1074,704010042_2E5,>20,
10-1074,704010069_C6,>20,
10-1074,704010069_C6,>20,
10-1074,704010083_B8,0.238,
10-1074,704010083_B8,0.238,
10-1074,704809221_1B3,0.102,
10-1074,704809221_1B3,0.084,
10-1074,704809221_1B3,0.139,
10-1074,704809221_1B3,0.084,
10-1074,704809221_1B3,0.084,
10-1074,704809221_1B3,0.093,
10-1074,704809221_1B3,0.139,
10-1074,704809221_1B3,0.084,
10-1074,704810053_2B7,>20,
10-1074,704810053_2B7,>20,
10-1074,705010067_TF,>20,
10-1074,705010067_TF,>20,
10-1074,705010185_TF,>20,
10-1074,705010185_TF,>20,
10-1074,705010198_TF,0.048,
10-1074,705010198_TF,0.048,
10-1074,706010164_1A7,0.033,
10-1074,706010164_1A7_REV,0.033,
10-1074,7165_18,0.008,
10-1074,7165_18,0.008,
10-1074,7165_18,0.07,
10-1074,7165_18,0.008,
10-1074,7165_18,0.008,
10-1074,7190_BL_A3_2,<0.023,
10-1074,7190_BL_A9_3,<0.023,
10-1074,7190_BL_B1_1,<0.023,
10-1074,7190_BL_C12_2,<0.023,
10-1074,7190_BL_D10_4,<0.023,
10-1074,7190_V7_A3_5,>50,
10-1074,7190_V7_A9_8,>50,
10-1074,7190_V7_B11_4,>50,
10-1074,7190_V7_F3_5,>50,
10-1074,7190_V7_G1_8,>50,
10-1074,722_G4_16,0.006,
10-1074,722_G4_16,0.006,
10-1074,783_V0_C51,0.002,
10-1074,8074_BL_D10_2,>50,
10-1074,8074_BL_E12_4,>50,
10-1074,8074_BL_E8_1,>50,
10-1074,8074_BL_F11_2,>50,
10-1074,8074_BL_F2_4,>50,
10-1074,8074_BL_F3_3,>50,
10-1074,8074_BL_F6_2,>50,
10-1074,8074_V7_E10_4,>50,
10-1074,8074_V7_E11_1,>50,
10-1074,8074_V7_E2_2,>50,
10-1074,8074_V7_E4_4,>50,
10-1074,8074_V7_G10_1,>50,
10-1074,851891_4_15,0.032,
10-1074,89_6,0.002,
10-1074,89_6,0.002,
10-1074,89_6,0.019,
10-1074,89_6,0.002,
10-1074,89_6,0.002,
10-1074,89_F1_2_25,>20,
10-1074,89_F1_2_25,>50,
10-1074,89_F1_2_25,>10,
10-1074,89_F1_2_25,>10,
10-1074,89_F1_2_25,>25,
10-1074,89_F1_2_25,>50,
10-1074,9004SS_A3_4,0.015,
10-1074,9004SS_A3_4,0.011,
10-1074,9004SS_A3_4,0.012,
10-1074,9004SS_A3_4,0.012,
10-1074,9004SS_A3_4,0.003,
10-1074,9004SS_A3_4,0.011,
10-1074,9004SS_A3_4,0.011,
10-1074,9009SA_A4_2,0.524,
10-1074,928_28,0.53,
10-1074,928_28,0.53,
10-1074,928_28,1.911,
10-1074,928_28,0.53,
10-1074,928_28,0.847,
10-1074,928_28,0.601,
10-1074,928_28,0.616,
10-1074,928_28,0.616,
10-1074,928_28,0.53,
10-1074,928_28,1.21,
10-1074,928_28,0.53,
10-1074,928_28,0.847,
10-1074,92BR025_9,0.002,
10-1074,92BR025_9,0.0003,
10-1074,92BR025_9,0.0003,
10-1074,92BR025_9,0.007,
10-1074,92BR025_9,0.002,
10-1074,92BR025_9,0.002,
10-1074,92RW020_2,0.002,
10-1074,92RW020_2,0.0003,
10-1074,92RW020_2,0.0003,
10-1074,92RW020_2,0.005,
10-1074,92RW020_2,0.002,
10-1074,92RW020_2,0.002,
10-1074,92RW020_2,0.005,
10-1074,9372_BL_A10_1,>50,
10-1074,9372_BL_C3_3,>50,
10-1074,9372_BL_C5_2,>50,
10-1074,9372_BL_E11_1,>50,
10-1074,9372_BL_E2_1,>50,
10-1074,9372_BL_E6_1,>50,
10-1074,9372_BL_E7_1,>50,
10-1074,9372_BL_F5_4,>50,
10-1074,9372_BL_F7_1,>50,
10-1074,9372_BL_H4_1,>50,
10-1074,9372_V7_E10_3,>50,
10-1074,9372_V7_F1_2,>50,
10-1074,9372_V7_G2_2,>50,
10-1074,9372_V7_G4_2,>50,
10-1074,93UG065,>50,
10-1074,96ZM651_02,0.002,
10-1074,96ZM651_02,0.002,
10-1074,96ZM651_02,0.002,
10-1074,96ZM651_02,0.033,
10-1074,96ZM651_02,0.002,
10-1074,96ZM651_02,0.002,
10-1074,98_F4_H5_13,0.962,
10-1074,98_F4_H5_13,0.962,
10-1074,A03349M1_VRC4A,0.01,
10-1074,A03349M1_VRC4A,0.01,
10-1074,A03349M1_VRC4A,0.01,
10-1074,A03349M1_VRC4A,0.071,
10-1074,A03349M1_VRC4A,0.01,
10-1074,A03349M1_VRC4A,0.01,
10-1074,A03349M1_VRC4A,0.191,
10-1074,A07412M1_VRC12,0.0003,
10-1074,A07412M1_VRC12,0.014,
10-1074,A07412M1_VRC12,0.0003,
10-1074,A07412M1_VRC12,0.001,
10-1074,A07412M1_VRC12,0.017,
10-1074,A07412M1_VRC12,0.011,
10-1074,A07412M1_VRC12,0.011,
10-1074,A07412M1_VRC12,0.01,
10-1074,A07412M1_VRC12,0.021,
10-1074,A07412M1_VRC12,<0.001,
10-1074,A07412M1_VRC12,<0.001,
10-1074,A08483M1_VRC9,19.533,
10-1074,AC10_29,0.025,
10-1074,AC10_29,0.037,
10-1074,AC10_29,0.025,
10-1074,AC10_29,0.022,
10-1074,AC10_29,0.032,
10-1074,AC10_29,0.015,
10-1074,AC10_29,0.015,
10-1074,AC10_29,0.025,
10-1074,AC10_29,0.02,
10-1074,AC10_29,0.025,
10-1074,AC10_29,0.022,
10-1074,ADA,0.003,
10-1074,ADA,0.003,
10-1074,ADA,0.041,
10-1074,ADA,0.003,
10-1074,ADA,0.003,
10-1074,B005018_8_F6_3,>20,
10-1074,B005018_8_F6_3,>20,
10-1074,B005582_7_G7_8,0.034,
10-1074,B005582_7_G7_8,0.034,
10-1074,BAL_01,0.003,
10-1074,BAL_01,0.003,
10-1074,BAL_01,0.032,
10-1074,BAL_01,0.003,
10-1074,BAL_01,0.003,
10-1074,BAL_26,0.004,
10-1074,BAL_26,0.004,
10-1074,BAL_26,0.026,
10-1074,BAL_26,0.004,
10-1074,BAL_26,0.004,
10-1074,BAL_26,0.02,
10-1074,BAL_26,0.033,
10-1074,BB201_B42,0.021,
10-1074,BB201_B42,0.0003,
10-1074,BB201_B42,0.0003,
10-1074,BB201_B42,0.012,
10-1074,BB201_B42,0.021,
10-1074,BB201_B42,0.021,
10-1074,BB539_2B13,>50,
10-1074,BB539_2B13,>50,
10-1074,BB539_2B13,>50,
10-1074,BB539_2B13,>50,
10-1074,BB539_2B13,>50,
10-1074,BB539_2B13,>50,
10-1074,BCF02,>10,
10-1074,BCF03,>10,
10-1074,BCF108,>10,
10-1074,BF1266_431A,>20,
10-1074,BF1266_431A,>20,
10-1074,BF1266_431A,>50,
10-1074,BF1266_431A,>10,
10-1074,BF1266_431A,>10,
10-1074,BF1266_431A,>25,
10-1074,BF1266_431A,>50,
10-1074,BF1266_431A,>10,
10-1074,BG1168_1,>50,
10-1074,BG1168_1,>50,
10-1074,BG1168_1,>50,
10-1074,BG1168_1,>50,
10-1074,BG1168_1,>50,
10-1074,BG505_W6M_C2,>50,
10-1074,BG505_W6M_C2,>50,
10-1074,BG505_W6M_C2,>50,
10-1074,BG505_W6M_C2,>50,
10-1074,BG505_W6M_C2,>50,
10-1074,BG505_W6M_C2_T332N,0.007,
10-1074,BI369_9A,0.002,
10-1074,BI369_9A,0.002,
10-1074,BI369_9A,0.002,
10-1074,BI369_9A,0.05,
10-1074,BI369_9A,0.002,
10-1074,BI369_9A,0.002,
10-1074,BJOX002000_03_2,0.011,
10-1074,BJOX002000_03_2,0.011,
10-1074,BJOX002000_03_2,0.012,
10-1074,BJOX002000_03_2,0.017,
10-1074,BJOX002000_03_2,0.011,
10-1074,BJOX003000_19_1,0.168,
10-1074,BJOX005000_09_2,>3.5,
10-1074,BJOX009000_02_4,>50,
10-1074,BJOX009000_02_4,>20,
10-1074,BJOX009000_02_4,>50,
10-1074,BJOX009000_02_4,>50,
10-1074,BJOX009000_02_4,>50,
10-1074,BJOX009000_02_4,>10,
10-1074,BJOX009000_02_4,>10,
10-1074,BJOX009000_02_4,>25,
10-1074,BJOX009000_02_4,>50,
10-1074,BJOX009000_02_4,>50,
10-1074,BJOX010000_06_2,>50,
10-1074,BJOX010000_06_2,>20,
10-1074,BJOX010000_06_2,>50,
10-1074,BJOX010000_06_2,>50,
10-1074,BJOX010000_06_2,>50,
10-1074,BJOX010000_06_2,>10,
10-1074,BJOX010000_06_2,>10,
10-1074,BJOX010000_06_2,>25,
10-1074,BJOX010000_06_2,>50,
10-1074,BJOX010000_06_2,>50,
10-1074,BJOX015000_11_5,>20,
10-1074,BJOX015000_11_5,>50,
10-1074,BJOX015000_11_5,>10,
10-1074,BJOX015000_11_5,>10,
10-1074,BJOX015000_11_5,>25,
10-1074,BJOX015000_11_5,>50,
10-1074,BJOX019000_02_1,0.0928,
10-1074,BJOX020000_03_3,0.017,
10-1074,BJOX025000_01_1,>50,
10-1074,BJOX025000_01_1,>20,
10-1074,BJOX025000_01_1,>50,
10-1074,BJOX025000_01_1,>50,
10-1074,BJOX025000_01_1,>50,
10-1074,BJOX025000_01_1,>10,
10-1074,BJOX025000_01_1,>10,
10-1074,BJOX025000_01_1,>25,
10-1074,BJOX025000_01_1,>50,
10-1074,BJOX025000_01_1,>50,
10-1074,BJOX028000_10_3,>50,
10-1074,BJOX028000_10_3,>20,
10-1074,BJOX028000_10_3,>50,
10-1074,BJOX028000_10_3,>50,
10-1074,BJOX028000_10_3,>50,
10-1074,BJOX028000_10_3,>10,
10-1074,BJOX028000_10_3,>10,
10-1074,BJOX028000_10_3,>25,
10-1074,BJOX028000_10_3,>50,
10-1074,BJOX028000_10_3,>50,
10-1074,BJOX029000_03_1,0.0457,
10-1074,BL01,5.28,
10-1074,BL01,5.28,
10-1074,BL01,3.41,
10-1074,BL01,5.28,
10-1074,BL01,5.28,
10-1074,BR07,0.015,
10-1074,BR07,0.015,
10-1074,BR07,0.095,
10-1074,BR07,0.015,
10-1074,BR07,0.015,
10-1074,BS208_B1,15.1,
10-1074,BS208_B1,15.1,
10-1074,BS208_B1,15.1,
10-1074,BS208_B1,>50,
10-1074,BS208_B1,15.1,
10-1074,BS208_B1,15.1,
10-1074,BX08_16,0.0003,
10-1074,BX08_16,0.0003,
10-1074,BX08_16,0.008,
10-1074,BX08_16,0.008,
10-1074,BX08_16,0.008,
10-1074,C1080_C3,>50,
10-1074,C1080_C3,>50,
10-1074,C1080_C3,>20,
10-1074,C1080_C3,>50,
10-1074,C1080_C3,>50,
10-1074,C1080_C3,>50,
10-1074,C1080_C3,>10,
10-1074,C1080_C3,>10,
10-1074,C1080_C3,>50,
10-1074,C1080_C3,>25,
10-1074,C1080_C3,>50,
10-1074,C1080_C3,>50,
10-1074,C2101_C1,>50,
10-1074,C2101_C1,>50,
10-1074,C2101_C1,>50,
10-1074,C2101_C1,>50,
10-1074,C2101_C1,>50,
10-1074,C2101_C1,>50,
10-1074,C2101_C1,>10,
10-1074,C2101_C1,>10,
10-1074,C2101_C1,>50,
10-1074,C2101_C1,>25,
10-1074,C2101_C1,>50,
10-1074,C2101_C1,>50,
10-1074,C3347_C11,>50,
10-1074,C3347_C11,>20,
10-1074,C3347_C11,>50,
10-1074,C3347_C11,>50,
10-1074,C3347_C11,>50,
10-1074,C3347_C11,>10,
10-1074,C3347_C11,>10,
10-1074,C3347_C11,>50,
10-1074,C3347_C11,>25,
10-1074,C3347_C11,>50,
10-1074,C3347_C11,>50,
10-1074,C4118_9,>50,
10-1074,C4118_9,>50,
10-1074,C4118_9,>20,
10-1074,C4118_9,>50,
10-1074,C4118_9,>50,
10-1074,C4118_9,>50,
10-1074,C4118_9,>10,
10-1074,C4118_9,>10,
10-1074,C4118_9,>50,
10-1074,C4118_9,>25,
10-1074,C4118_9,>50,
10-1074,C4118_9,>50,
10-1074,CA146_H3_3,0.013,
10-1074,CA146_H3_3,0.013,
10-1074,CA240_A5_5,0.004,
10-1074,CA240_A5_5,0.004,
10-1074,CA327_D2_2,0.001,
10-1074,CA327_D2_2,0.001,
10-1074,CA392_H2_6,0.086,
10-1074,CA392_H2_6,0.086,
10-1074,CA457_H1_1,0.017,
10-1074,CA457_H1_1,0.017,
10-1074,CAAN5342,0.0008,
10-1074,CAAN5342,0.014,
10-1074,CAAN5342,0.0008,
10-1074,CAAN5342,0.007,
10-1074,CAAN5342,0.016,
10-1074,CAAN5342,0.005,
10-1074,CAAN5342,0.005,
10-1074,CAAN5342,0.014,
10-1074,CAAN5342,0.002,
10-1074,CAAN5342,0.014,
10-1074,CAAN5342,0.007,
10-1074,CAP129_1_15_B2_13,>20,
10-1074,CAP129_1_15_B2_13,>20,
10-1074,CAP136_1_16_E6_1,0.05,
10-1074,CAP136_1_16_E6_1,0.05,
10-1074,CAP174_1_06_F3_1B,0.009,
10-1074,CAP174_1_06_F3_1B,0.009,
10-1074,CAP177_1A3,>20,
10-1074,CAP177_1A3,>20,
10-1074,CAP188_1_D1_14_REV,>20,
10-1074,CAP188_1_D1_14_REV,>20,
10-1074,CAP200_B8A,0.025,
10-1074,CAP200_B8A,0.025,
10-1074,CAP206_1_B5_Y681D,0.058,
10-1074,CAP206_1_B5_Y681D,0.058,
10-1074,CAP210_E8,>50,
10-1074,CAP210_E8,>50,
10-1074,CAP210_E8,>50,
10-1074,CAP210_E8,>50,
10-1074,CAP210_E8,>50,
10-1074,CAP210_E8,>50,
10-1074,CAP210_E8,>10,
10-1074,CAP210_E8,>10,
10-1074,CAP210_E8,>50,
10-1074,CAP210_E8,>25,
10-1074,CAP210_E8,>50,
10-1074,CAP210_E8,>50,
10-1074,CAP210_TA5,>20,
10-1074,CAP210_TA5,>20,
10-1074,CAP220_2_00_A8_5B,>20,
10-1074,CAP220_2_00_A8_5B,>20,
10-1074,CAP221_B14,>20,
10-1074,CAP221_B14,>20,
10-1074,CAP224_1_18_C7_3,0.049,
10-1074,CAP224_1_18_C7_3,0.049,
10-1074,CAP225_1_06_A2_18,0.25,
10-1074,CAP225_1_06_A2_18,0.25,
10-1074,CAP237_1_22_B2_2_39,>20,
10-1074,CAP237_1_22_B2_2_39,>20,
10-1074,CAP244_D3,41.1,
10-1074,CAP244_D3,41.1,
